protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,unicast_deliveries,broadcast_deliveries,tx_count,data_tx,control_tx,total_airtime_s,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index
smart-calm,1,1200.0,117,55,62,0.981818,0.977288,6.467129,54,2969,3226,2673,553,796.125184,0.263356,0.555751,8806,149268,74021,2129,1019,541,12,38,17,29,5,0.952033,0.17142,3,94,101.812125,0
smart-calm,2,1200.0,125,69,56,0.971014,0.9457,13.07137,67,2595,2987,2340,647,737.143808,0.276914,0.716675,9320,137043,66443,1965,864,633,14,37,32,20,5,0.923029,0.216605,5,108,113.741353,0
smart-calm,3,1200.0,125,79,46,0.949367,0.999556,12.870301,75,2253,3029,2283,746,747.508736,0.321095,0.761781,8930,139491,67595,1593,730,734,12,40,39,254,11,0.948609,0.246286,1,118,104.206597,0
smart-calm,4,1200.0,123,53,70,0.90566,0.968805,13.016369,48,3323,3550,2951,599,876.0832,0.259888,0.664571,9332,164618,79370,2374,1232,587,12,33,20,100,4,0.94611,0.168732,4,92,73.573665,1
smart-calm,5,1200.0,105,54,51,0.907407,0.996799,10.847008,49,2491,3047,2357,690,751.950848,0.296044,0.543269,8330,140973,71069,2072,883,677,13,27,27,160,8,0.949012,0.226452,1,94,73.378632,0
smart-calm,6,1200.0,107,62,45,0.983871,0.977778,1.776972,61,2156,2514,1913,601,620.414976,0.279844,0.466821,7764,115422,52953,1378,687,589,12,48,14,0,5,0.958559,0.239061,7,101,105.695378,0
smart-calm,7,1200.0,128,68,60,0.985294,0.966327,8.329595,67,2841,3122,2579,543,770.459648,0.264945,0.591457,9120,143858,69173,1979,876,533,10,47,21,51,3,0.951195,0.173927,1,107,116.090429,0
smart-calm,8,1200.0,125,63,62,0.984127,0.966425,8.418091,62,2936,3150,2650,500,777.3696,0.259296,0.434963,8327,146023,66507,1410,883,490,10,43,20,11,2,0.946075,0.15873,7,103,114.294603,0
smart-calm,9,1200.0,127,58,69,1.0,0.982845,4.921605,58,3323,3645,2994,651,899.52768,0.266054,0.462996,9133,169472,78268,1714,1010,638,13,41,17,44,6,0.953267,0.178601,1,98,102.841957,0
smart-calm,10,1200.0,133,72,61,0.958333,0.979926,12.703689,69,2929,3234,2692,542,798.099456,0.266211,0.595557,8716,149750,69518,1495,806,532,10,43,29,52,4,0.946443,0.167594,1,110,104.08316,0
